Data,Ticker,Płynność bieżąca,Udział zysku netto w przepływach operacyjnych,ROE,Marża zysku operacyjnego,Cena / Wartość księgowa,Cena / Zysk,Zadłużenie ogólne
2013-12-31,ABS,3.03,65.96,10.36,21.80,4.52,43.6,0.11
2014-03-31,ABS,5.35,72.92,10.43,22.03,4.39,42.06,0.06
2014-06-30,ABS,4.59,74.73,11.56,22.76,4.77,41.25,0.06
2014-09-30,ABS,4.62,75.46,11.36,22.67,4.65,40.94,0.06
2014-12-31,ABS,3.93,73.00,10.96,23.60,4.49,40.94,0.08
2015-03-31,ABS,5.73,74.31,10.79,24.30,4.35,40.33,0.06
2015-06-30,ABS,4.26,78.75,12.28,24.81,4.73,38.53,0.07
2015-09-30,ABS,5.05,79.63,12.70,25.98,4.58,36.05,0.06
2015-12-31,ABS,4.1,72.09,12.60,26.64,4.4,34.91,0.08
2016-03-31,ABS,5.77,73.05,12.95,27.86,4.23,32.7,0.06
2016-06-30,ABS,3.9,74.72,15.08,28.81,4.65,30.81,0.08
2016-09-30,ABS,4.59,78.50,15.58,30.04,4.45,28.55,0.07
2016-12-31,ABS,4.1,86.34,15.43,30.55,4.25,27.56,0.09
2017-03-31,ABS,5.79,90.53,15.77,31.32,4.06,25.72,0.07
2017-06-30,ABS,0.77,92.25,17.97,31.50,4.56,25.4,0.26
2017-09-30,ABS,0.86,85.34,17.15,29.30,4.45,25.95,0.24
2017-12-31,ABS,0.88,78.35,17.92,29.22,4.18,23.33,0.22
2018-03-31,ABS,1.18,69.87,17.48,28.26,3.97,22.74,0.18
2018-06-30,ABS,0.75,73.20,21.27,28.25,4.41,20.72,0.26
2018-09-30,ABS,0.83,73.93,21.63,29.22,4.18,19.34,0.2
2018-12-31,ABS,1.21,78.02,20.96,30.07,3.92,18.69,0.18
2019-03-31,ABS,1.3,75.08,20.49,30.20,3.79,18.49,0.23
2019-06-30,ABS,0.68,67.87,23.04,30.22,4.29,18.62,0.29
2019-09-30,ABS,0.87,68.73,22.29,30.40,4.06,18.19,0.26
2019-12-31,ABS,1.38,69.65,23.23,32.01,3.7,15.93,0.25
2020-03-31,ABS,1.73,71.85,22.17,31.87,3.53,15.91,0.24
2004-12-31,ACP,0.96,-1.68,0.32,4.46,10.4,3206.13,0.73
2005-12-31,ACP,1.31,105.47,15.50,9.72,6.04,38.98,0.59
2006-03-31,ACP,1.38,93.44,16.16,10.59,5.92,36.65,0.49
2006-06-30,ACP,1.52,67.33,14.26,7.77,6.06,42.49,0.5
2006-09-30,ACP,1.6,62.28,18.28,6.78,5.48,29.97,0.49
2006-12-31,ACP,1.69,269.95,21.91,9.08,5.04,22.99,0.5
2007-03-31,ACP,1.87,117.11,6.21,11.94,2.15,34.57,0.23
2007-06-30,ACP,1.65,98.88,7.79,13.77,2.12,27.21,0.24
2007-09-30,ACP,1.33,95.41,8.99,16.31,2.17,24.17,0.29
2007-12-31,ACP,1.49,328.26,8.37,18.45,1.81,21.62,0.35
2008-03-31,ACP,1.08,247.16,9.53,18.76,1.77,18.56,0.38
2008-06-30,ACP,1.32,266.44,9.51,18.41,1.97,20.75,0.35
2008-09-30,ACP,1.43,150.13,10.43,18.14,1.92,18.44,0.32
2008-12-31,ACP,1.28,65.92,9.45,17.74,1.55,16.43,0.34
2009-03-31,ACP,1.27,73.61,9.70,17.18,1.48,15.28,0.32
2009-06-30,ACP,1.26,71.05,9.82,18.02,1.49,15.21,0.26
2009-09-30,ACP,1.39,74.17,10.34,18.34,1.47,14.17,0.23
2009-12-31,ACP,1.39,85.10,10.14,17.23,1.43,14.15,0.24
2010-03-31,ACP,1.35,87.21,10.64,17.56,1.43,13.41,0.24
2010-06-30,ACP,1.6,77.64,10.12,17.08,1.33,13.13,0.22
2010-09-30,ACP,1.62,83.88,10.10,17.47,1.3,12.89,0.2
2010-12-31,ACP,1.71,61.40,,17.57,,12.73,0.25
2011-03-31,ACP,1.89,55.91,9.12,16.81,1.16,12.67,0.24
2011-06-30,ACP,1.85,61.58,8.73,15.92,1.18,13.46,0.22
2011-09-30,ACP,2.04,60.18,8.22,14.46,1.11,13.53,0.21
2011-12-31,ACP,1.8,72.69,8.17,13.00,1.09,13.3,0.26
2012-03-31,ACP,2.0,64.14,8.31,12.58,1.09,13.06,0.24
2012-06-30,ACP,1.82,63.20,8.54,12.06,1.1,12.9,0.26
2012-09-30,ACP,2.05,57.46,8.03,11.70,1.1,13.73,0.23
2012-12-31,ACP,1.87,54.46,7.18,11.75,1.1,15.27,0.25
2013-03-31,ACP,2.02,54.46,6.75,11.55,1.07,15.79,0.23
2013-06-30,ACP,1.86,48.61,6.75,11.40,1.08,15.93,0.25
2013-09-30,ACP,1.95,55.58,6.76,11.13,1.08,15.95,0.24
2013-12-31,ACP,1.8,52.35,7.51,10.35,1.08,14.35,0.25
2014-03-31,ACP,2.24,63.81,7.46,9.83,1.06,14.17,0.25
2014-06-30,ACP,2.06,54.40,7.62,9.58,1.08,14.23,0.25
2014-09-30,ACP,2.17,52.04,7.65,9.61,1.08,14.13,0.23
2014-12-31,ACP,2.0,52.21,6.78,10.22,1.07,15.77,0.25
2015-03-31,ACP,1.97,41.20,6.45,10.27,1.08,16.69,0.25
2015-06-30,ACP,1.76,46.29,6.10,10.19,1.1,18.05,0.26
2015-09-30,ACP,1.92,41.98,6.32,10.32,1.08,17.15,0.29
2015-12-31,ACP,1.79,43.20,6.82,10.27,1.05,15.46,0.31
2016-03-31,ACP,1.84,41.55,6.50,10.21,1.04,15.99,0.29
2016-06-30,ACP,1.69,44.72,6.97,10.02,1.06,15.26,0.3
2016-09-30,ACP,1.75,39.43,6.50,9.89,1.05,16.13,0.28
2016-12-31,ACP,1.74,34.11,5.47,9.70,1.03,18.76,0.32
2017-03-31,ACP,1.63,38.33,5.34,9.18,1.02,19.06,0.32
2017-06-30,ACP,1.43,31.51,5.09,8.60,1.06,20.8,0.34
2017-09-30,ACP,1.92,78.65,8.52,8.21,1.01,11.81,0.16
2017-12-31,ACP,1.69,67.49,8.33,7.47,1.01,12.11,0.3
2018-03-31,ACP,1.68,64.75,8.42,7.42,1.0,11.91,0.29
2018-06-30,ACP,1.49,60.97,8.32,7.96,1.01,12.18,0.39
2018-09-30,ACP,1.55,33.04,5.35,7.88,1.01,18.84,0.39
2018-12-31,ACP,1.6,33.31,5.83,8.54,0.99,16.96,0.39
2019-03-31,ACP,1.59,29.69,5.91,8.87,0.97,16.43,0.43
2019-06-30,ACP,1.5,34.64,6.82,8.92,1.01,14.79,0.44
2019-09-30,ACP,1.46,25.66,5.85,9.18,0.98,16.81,0.45
2019-12-31,ACP,1.49,21.47,5.59,9.15,0.98,17.53,0.45
2009-12-31,ALL,1.41,117.06,4.72,4.97,6.39,135.47,0.3
2010-12-31,ALL,1.94,613.39,37.76,12.71,10.29,27.26,0.38
2011-06-30,ALL,2.42,820.50,38.49,24.62,7.84,20.38,0.33
2011-09-30,ALL,3.9,912.13,26.00,25.06,5.28,20.29,0.22
2011-12-31,ALL,2.55,346.45,26.28,23.61,4.96,18.89,0.32
2012-03-31,ALL,2.76,309.62,21.95,21.62,4.64,21.14,0.27
2012-06-30,ALL,3.15,315.68,20.86,22.15,4.33,20.73,0.25
2012-09-30,ALL,3.41,126.73,23.26,23.64,4.06,17.47,0.24
2012-12-31,ALL,3.37,92.11,25.66,29.25,3.71,14.44,0.17
2013-03-31,ALL,5.56,65.69,23.72,27.05,3.55,14.99,0.1
2013-06-30,ALL,7.28,66.16,20.70,22.59,3.45,16.64,0.07
2013-09-30,ALL,9.49,90.02,18.86,24.35,3.3,17.49,0.06
2013-12-31,ALL,3.22,162.89,24.45,32.38,2.8,11.45,0.21
2014-03-31,ALL,6.87,223.44,24.53,32.22,2.8,11.41,0.54
2014-06-30,ALL,3.89,-1271.23,10.22,24.63,1.3,12.67,0.34
2014-09-30,ALL,4.88,552.30,9.68,17.12,1.34,13.85,0.32
2014-12-31,ALL,2.94,-9788.89,12.74,17.22,1.28,10.04,0.37
2015-03-31,ALL,3.99,472.87,13.48,15.54,1.26,9.32,0.33
2015-06-30,ALL,6.2,393.88,15.83,16.87,1.18,7.43,0.29
2015-09-30,ALL,5.15,303.75,14.57,18.13,1.08,7.41,0.36
2015-12-31,ALL,2.67,45.95,9.79,13.34,1.12,11.47,0.42
2016-03-31,ALL,3.24,47.59,8.70,11.84,1.12,12.83,0.4
2016-06-30,ALL,2.91,33.96,6.17,9.20,1.08,17.52,0.39
2016-09-30,ALL,3.69,37.73,6.81,9.36,1.07,15.72,0.36
2016-12-31,ALL,2.35,130.03,10.19,9.12,1.01,9.89,0.42
2017-03-31,ALL,2.94,58.30,10.32,9.10,1.0,9.7,0.37
2017-06-30,ALL,2.74,77.90,10.66,9.43,1.0,9.39,0.37
2017-09-30,ALL,3.2,70.44,10.52,8.20,0.99,9.44,0.34
2017-12-31,ALL,2.49,122.19,11.23,9.77,0.93,8.24,0.36
2018-03-31,ALL,3.11,67.49,10.90,9.20,0.92,8.46,0.32
2018-06-30,ALL,3.31,71.60,10.94,9.07,0.89,8.11,0.3
2018-09-30,ALL,3.44,149.59,10.23,8.59,0.89,8.69,0.28
2018-12-31,ALL,2.14,58.81,5.78,5.20,0.87,15.02,0.37
2019-03-31,ALL,2.82,439.49,5.97,5.47,0.86,14.47,0.29
2019-06-30,ALL,2.74,121.95,3.71,4.04,0.86,23.11,0.28
2019-09-30,ALL,2.69,177.41,5.92,5.30,0.84,14.16,0.28
2019-12-31,ALL,2.03,8.42,0.57,2.92,0.87,151.04,0.35
2013-12-31,ART,3.25,,,,7.5,,0.31
2014-12-31,ART,8.26,133.04,36.23,45.40,3.78,10.44,0.14
2015-12-31,ART,7.38,-763.16,31.30,54.09,2.64,8.43,0.15
2016-06-30,ART,8.68,-380.62,22.84,42.19,2.3,10.08,0.13
2016-09-30,ART,9.71,3853.25,23.34,40.39,2.13,9.12,0.11
2016-12-31,ART,11.49,-4434.13,14.38,32.92,1.61,11.16,0.1
2017-03-31,ART,11.23,-102966.67,15.15,33.18,1.53,10.1,0.1
2017-06-30,ART,12.46,-242.34,12.05,26.76,1.5,12.44,0.09
2017-09-30,ART,14.68,-77.58,8.15,19.89,1.48,18.17,0.08
2017-12-31,ART,12.42,65.44,-10.18,-23.40,1.77,,0.1
2018-03-31,ART,12.66,69.62,-11.39,-26.19,1.7,,0.1
2018-06-30,ART,11.2,94.52,-9.93,-20.08,1.65,,0.11
2018-09-30,ART,16.23,70.35,-8.20,-21.64,1.46,,0.08
2018-12-31,ART,9.88,210.85,-30.05,-65.08,2.03,,0.1
2019-03-31,ART,8.49,172.90,-32.05,-74.01,2.0,,0.18
2019-06-30,ART,9.08,131.02,-32.99,-92.93,1.96,,0.17
2019-09-30,ART,9.46,171.91,-30.82,-89.63,1.92,,0.16
2019-12-31,ART,5.03,221.70,-64.73,-86.20,3.34,,0.24
2008-12-31,ASE,1.7,42.87,5.45,13.15,5.98,109.6,0.53
2009-12-31,ASE,2.3,71.53,6.62,12.77,3.07,46.36,0.15
2010-03-31,ASE,2.71,76.47,6.90,11.77,3.22,46.69,0.13
2010-06-30,ASE,2.56,66.79,6.26,11.28,3.08,49.19,0.15
2010-09-30,ASE,1.64,130.85,7.62,12.02,3.05,40.02,0.18
2010-12-31,ASE,1.79,69.33,7.31,11.34,3.06,41.82,0.18
2011-03-31,ASE,2.17,71.53,7.67,11.53,2.94,38.36,0.14
2011-06-30,ASE,2.06,76.69,7.87,11.10,3.0,38.05,0.15
2011-09-30,ASE,2.48,81.45,7.11,11.27,2.69,37.9,0.13
2011-12-31,ASE,2.38,124.95,7.76,11.89,2.63,33.92,0.14
2012-03-31,ASE,2.69,113.66,8.34,11.96,2.8,33.56,0.13
2012-06-30,ASE,2.06,94.91,8.35,12.02,2.8,33.59,0.18
2012-09-30,ASE,2.32,93.85,8.10,11.69,2.84,35.05,0.13
2012-12-31,ASE,2.45,91.54,7.47,11.37,2.8,37.44,0.13
2013-03-31,ASE,2.86,94.64,6.47,10.94,2.69,41.54,0.11
2013-06-30,ASE,1.7,144.70,6.13,10.34,2.77,45.2,0.18
2013-09-30,ASE,2.33,90.73,5.95,9.82,2.85,47.94,0.12
2013-12-31,ASE,1.83,88.68,5.55,8.95,2.87,51.68,0.17
2014-03-31,ASE,2.12,83.99,5.35,8.59,2.83,52.84,0.16
2014-06-30,ASE,1.6,61.06,5.66,8.76,2.85,50.36,0.2
2014-09-30,ASE,1.91,65.45,5.70,9.04,2.82,49.52,0.17
2014-12-31,ASE,1.65,53.57,5.75,9.23,2.74,47.59,0.2
2015-03-31,ASE,1.58,57.90,6.24,9.62,2.89,46.27,0.19
2015-06-30,ASE,1.59,63.78,6.44,10.32,2.8,43.52,0.2
2015-09-30,ASE,1.85,54.24,6.81,10.62,2.74,40.24,0.18
2015-12-31,ASE,1.79,57.89,6.32,10.90,2.7,42.63,0.19
2016-03-31,ASE,1.56,65.90,6.43,10.51,2.74,42.61,0.2
2016-06-30,ASE,1.57,59.16,6.21,10.07,2.61,42.05,0.21
2016-09-30,ASE,1.76,77.85,6.02,9.58,2.64,43.84,0.19
2016-12-31,ASE,1.64,58.70,7.05,9.95,2.54,36.1,0.23
2017-03-31,ASE,1.64,53.45,7.81,10.17,2.72,34.79,0.2
2017-06-30,ASE,1.57,62.76,8.07,10.71,2.65,32.81,0.21
2017-09-30,ASE,1.88,56.61,7.85,10.91,2.57,32.73,0.17
2017-12-31,ASE,1.7,57.93,7.61,11.54,2.59,34.0,0.22
2018-03-31,ASE,1.94,57.28,7.63,11.47,2.54,33.33,0.19
2018-06-30,ASE,1.68,68.66,7.53,11.31,2.51,33.33,0.21
2018-09-30,ASE,1.86,54.90,8.59,11.73,2.54,29.56,0.2
2018-12-31,ASE,1.79,53.57,8.48,11.11,2.43,28.71,0.23
2019-03-31,ASE,1.74,59.48,9.33,11.63,2.42,25.96,0.28
2019-06-30,ASE,1.56,55.43,9.79,11.62,2.46,25.14,0.32
2019-09-30,ASE,1.5,68.57,10.06,11.91,2.31,22.94,0.34
2019-12-31,ASE,1.44,56.66,11.27,12.50,2.33,20.64,0.36
2020-03-31,ASE,1.7,63.32,11.02,12.57,2.14,19.45,0.3
2008-12-31,ATD,1.15,-102.18,29.82,7.12,0.75,2.52,0.76
2009-12-31,ATD,1.07,1.69,0.71,1.05,0.75,104.86,0.74
2010-12-31,ATD,1.04,16.01,4.05,1.75,0.72,17.68,0.73
2011-12-31,ATD,1.13,65.87,19.59,4.70,0.61,3.1,0.76
2012-06-30,ATD,1.15,74.93,10.12,4.65,2.63,26.02,0.6
2012-09-30,ATD,1.24,-92.91,6.34,3.23,2.6,41.03,0.51
2012-12-31,ATD,1.25,-145.95,11.24,5.02,2.39,21.27,0.55
2013-03-31,ATD,1.31,122.27,8.44,4.40,2.45,29.03,0.48
2013-06-30,ATD,1.14,30.53,11.75,4.30,2.46,20.93,0.65
2013-09-30,ATD,1.4,44.80,18.13,6.66,2.25,12.42,0.47
2013-12-31,ATD,1.26,59.48,18.43,6.97,2.05,11.14,0.57
2014-03-31,ATD,1.43,62.73,20.62,7.29,2.05,9.94,0.46
2014-06-30,ATD,1.18,61.66,18.60,6.71,2.51,13.49,0.48
2014-09-30,ATD,1.23,76.03,11.83,5.07,2.44,20.59,0.46
2014-12-31,ATD,1.21,40.64,13.98,6.61,2.12,15.19,0.58
2015-03-31,ATD,1.3,274.92,11.71,5.64,2.18,18.59,0.47
2015-06-30,ATD,1.15,165.79,13.96,5.65,2.41,17.27,0.52
2015-09-30,ATD,1.1,61.14,17.12,5.34,2.25,13.14,0.69
2015-12-31,ATD,1.17,21.20,15.97,5.36,1.96,12.27,0.59
2016-03-31,ATD,1.27,42.25,15.27,5.17,2.03,13.29,0.45
2016-06-30,ATD,1.19,68.85,22.73,6.91,2.15,9.45,0.5
2016-09-30,ATD,1.21,571.55,20.26,7.89,2.05,10.11,0.52
2016-12-31,ATD,1.3,-35.29,16.13,6.91,1.92,11.87,0.58
2017-03-31,ATD,1.33,90.65,19.58,7.52,1.91,9.78,0.53
2017-06-30,ATD,1.15,84.68,13.06,4.54,2.22,17.02,0.59
2017-09-30,ATD,1.15,38.56,9.58,3.64,2.19,22.82,0.6
2017-12-31,ATD,1.13,13.66,17.91,6.79,1.77,9.88,0.73
2018-03-31,ATD,1.27,118.88,17.74,6.54,1.77,9.99,0.59
2018-06-30,ATD,1.14,99.82,21.75,6.83,2.03,9.31,0.61
2018-09-30,ATD,1.25,44.79,25.46,7.57,1.89,7.43,0.63
2018-12-31,ATD,1.28,-19.14,14.47,5.90,1.7,11.78,0.6
2019-03-31,ATD,1.24,69.93,16.03,6.33,1.68,10.46,0.62
2019-06-30,ATD,1.12,97.84,18.82,6.06,1.89,10.03,0.65
2019-09-30,ATD,1.15,-120.27,10.39,4.52,1.93,18.56,0.61
2019-12-31,ATD,1.37,69.00,15.71,6.79,1.63,10.36,0.59
2015-12-31,BBT,4.41,,,,22.22,,0.2
2016-12-31,BBT,8.79,61.79,59.40,53.13,16.15,27.18,0.15
2017-12-31,BBT,2.84,101.79,55.04,51.43,10.49,19.05,0.26
2018-12-31,BBT,0.83,91.56,25.85,28.07,6.97,26.96,0.3
2019-03-31,BBT,0.61,-5.85,-0.87,-2.68,7.0,,0.39
2019-06-30,BBT,2.1,-78.00,-2.50,-3.55,4.63,,0.21
2019-09-30,BBT,1.57,-29.74,-3.87,-5.61,4.68,,0.25
2019-12-31,BBT,1.42,-316.35,-18.39,-22.06,5.31,,0.24
2004-12-31,BCM,4.51,1345.00,13.79,3.78,0.85,6.17,0.2
2005-12-31,BCM,2.29,90.71,5.12,1.26,0.85,16.54,0.4
2006-03-31,BCM,3.06,21.94,-2.35,-0.11,0.9,,0.31
2006-06-30,BCM,2.06,-1.93,-1.64,-0.08,0.94,,0.44
2006-09-30,BCM,1.93,-3.52,-0.65,0.01,0.84,,0.45
2006-12-31,BCM,2.55,34.56,6.81,2.40,0.83,12.18,0.34
2007-03-31,BCM,1.38,12.99,14.31,3.50,0.81,5.69,0.66
2007-06-30,BCM,3.25,32.88,11.02,2.60,0.87,7.85,0.28
2007-09-30,BCM,1.71,-30.46,6.94,1.59,0.82,11.83,0.53
2007-12-31,BCM,1.92,86.66,9.97,2.24,0.79,7.89,0.46
2008-03-31,BCM,1.7,-112.15,12.33,2.26,0.75,6.09,0.54
2008-06-30,BCM,3.48,132.76,12.21,2.23,0.8,6.53,0.26
2008-09-30,BCM,2.46,13.87,7.64,1.64,0.79,10.31,0.36
2008-12-31,BCM,3.27,6.97,2.37,0.84,0.8,33.63,0.27
2009-03-31,BCM,5.13,122.30,-12.05,-2.85,0.87,,0.18
2009-06-30,BCM,2.94,-39.55,-12.16,-4.30,0.92,,0.27
2009-09-30,BCM,1.81,-34.97,-7.60,-1.72,0.87,,0.47
2009-12-31,BCM,2.91,-93.93,-15.18,-3.51,0.94,,0.26
2010-03-31,BCM,2.52,1549.43,-7.05,-1.64,0.95,,0.3
2010-06-30,BCM,1.82,-35.30,-13.28,-2.01,1.05,,0.38
2010-09-30,BCM,1.73,-473.16,-15.89,-3.02,1.0,,0.44
2010-12-31,BCM,2.09,2163.28,-16.57,-3.27,1.09,,0.33
2011-03-31,BCM,2.36,1411.43,-11.52,-2.05,1.06,,0.3
2011-06-30,BCM,2.28,50.00,-1.21,0.35,1.06,,0.3
2011-09-30,BCM,1.93,6.95,2.87,1.60,0.97,33.94,0.41
2011-12-31,BCM,2.55,36.71,8.86,2.97,1.0,11.24,0.3
2012-03-31,BCM,3.37,25.79,8.17,2.91,0.98,11.97,0.22
2012-06-30,BCM,2.2,58.74,6.68,1.94,1.06,15.89,0.33
2012-09-30,BCM,1.65,-77.27,1.90,0.66,1.02,53.71,0.49
2012-12-31,BCM,2.25,26.48,9.05,2.72,0.97,10.72,0.37
2013-03-31,BCM,3.07,-69.47,7.97,2.34,0.96,12.07,0.29
2013-06-30,BCM,1.43,76.72,14.78,3.01,0.99,6.67,0.63
2013-09-30,BCM,3.18,33.45,16.59,3.29,0.93,5.58,0.29
2013-12-31,BCM,3.71,43.71,12.07,2.57,0.92,7.64,0.25
2014-03-31,BCM,3.04,24.10,12.28,2.50,0.91,7.43,0.3
2014-06-30,BCM,1.98,61.44,11.38,2.62,0.98,8.62,0.43
2014-09-30,BCM,2.59,-40.53,11.46,2.85,0.91,7.97,0.34
2014-12-31,BCM,2.34,-39.74,8.74,2.05,0.94,10.72,0.43
2015-03-31,BCM,2.4,347.50,9.12,2.15,0.92,10.11,0.41
2015-06-30,BCM,2.46,59.38,9.28,2.06,0.97,10.43,0.4
2015-09-30,BCM,1.65,8.36,7.35,1.62,0.92,12.46,0.56
2015-12-31,BCM,2.14,69.26,9.21,2.08,0.92,10.02,0.41
2016-03-31,BCM,2.47,22.43,8.04,1.69,0.92,11.42,0.36
2016-06-30,BCM,1.71,63.78,8.51,1.73,0.97,11.38,0.47
2016-09-30,BCM,2.45,-50.19,7.47,1.42,0.92,12.35,0.35
2016-12-31,BCM,3.11,11.88,2.29,0.48,0.98,42.77,0.25
2017-03-31,BCM,1.8,-9.92,3.41,0.72,0.97,28.31,0.46
2017-06-30,BCM,2.17,26.35,3.06,0.48,0.94,30.85,0.37
2017-09-30,BCM,1.76,11.98,4.05,0.77,0.89,22.0,0.51
2017-12-31,BCM,2.37,32.87,12.14,2.06,0.87,7.14,0.35
2018-03-31,BCM,2.1,21.73,10.55,1.86,0.87,8.23,0.37
2018-06-30,BCM,1.85,18.57,7.25,1.38,0.95,13.12,0.42
2018-09-30,BCM,1.62,-17.78,3.01,0.81,0.93,30.9,0.47
2018-12-31,BCM,2.12,33.93,5.47,1.55,0.88,16.15,0.34
2019-03-31,BCM,1.92,20.71,5.74,1.75,0.88,15.36,0.38
2019-06-30,BCM,1.52,14.49,4.30,1.26,0.94,21.84,0.5
2019-09-30,BCM,8.68,9.37,0.83,0.43,0.95,114.13,0.09
2007-12-31,CDR,0.41,12588.27,159.22,-17.26,,,1.61
2008-12-31,CDR,0.94,-11.66,21.68,5.32,1838.32,8478.71,0.75
2009-03-31,CDR,0.88,-7.14,13.76,5.43,1937.86,14083.47,0.65
2009-06-30,CDR,0.56,15.26,-18.20,-2.60,2799.97,,0.62
2009-09-30,CDR,0.68,-27.69,37.31,15.13,2421.14,6489.69,0.59
2009-12-31,CDR,0.11,51.79,-64.23,-169.03,2995.66,,0.9
2010-03-31,CDR,0.12,66.63,-105.52,-238.24,3939.08,,0.92
2010-06-30,CDR,0.88,-36.22,0.32,17.44,474.96,146543.48,0.63
2010-09-30,CDR,0.99,-1008.87,-12.58,-17.38,532.76,,0.65
2010-12-31,CDR,1.05,-33.57,-4.44,-1.34,410.85,,0.54
2011-03-31,CDR,1.41,24.31,1.55,7.13,363.3,23370.44,0.41
2011-06-30,CDR,1.83,114.41,13.78,17.21,305.15,2214.5,0.34
